Compound_Name,CAS_Number,Flavor_Description,Source
ethyl valerate,539-82-2,"yeast, fruit",Flavornet
mercaptopentanone,17042-24-9,roasted meat,Flavornet
methyltetrahydrofuranthiol,26548-78-7,onion,Flavornet
heptanal,111-71-7,"fat, citrus, rancid",Flavornet
4-heptenal,6728-31-0,"biscuit, cream",Flavornet
bornyl methyl ether,10395-54-7,"earth, must",Flavornet
dimethyl pyrazine,123-32-0,"cocoa, roasted nut, roast beef, medicine",Flavornet
dimethyl pyrazine,108-50-9,"roasted nut, cocoa, roast beef",Flavornet
ethyl pyrazine,13925-00-3,"peanut butter, wood",Flavornet
caproic acid,142-62-1,sweat,Flavornet
"2,4-hexadienal",80466-34-8,green,Flavornet
pentanoic acid,109-52-4,sweat,Flavornet
dimethyl pyrazine,5910-89-4,"nut, peanut butter, cocoa, meat",Flavornet
4-methylhexanol,818-49-5,sweat,Flavornet
fufuryl mercaptan,98-02-2,"coffee, roast",Flavornet
1-cyclohexen-3-one,930-68-7,pesticide,Flavornet
acetylpyrroline,85213-22-5,"nut, roast",Flavornet
nonane,111-84-2,alkane,Flavornet
methoxymethylbutanethiol,94087-83-9,"cat, black currant",Flavornet
ethyl mercaptopropionate,19788-49-9,sulfur,Flavornet
dimethylthiazole,3581-91-7,"roast, smoke",Flavornet
dimethyl sulfone,67-71-0,"sulfur, burnt",Flavornet
hexanethiol,111-31-9,sulfur,Flavornet
heptanol,543-49-7,mushroom,Flavornet
methyl hexanoate,106-70-7,"fruit, fresh, sweet",Flavornet
methyldihydrofuranthiol,26486-13-5,meat,Flavornet
methylthiazoline,52558-99-3,garlic,Flavornet
2-ethylpyridine,100-71-0,grass,Flavornet
α-pinene,80-56-8,"pine, turpentine",Flavornet
mercaptomethylpentanone,75832-79-0,black currant,Flavornet
methyl-p-xylene,95-63-6,plastic,Flavornet
ethyl 3-hydroxybutanoate,5405-41-4,marshmallow,Flavornet
butyl isothiocyanate,592-82-5,"sulfur, pungent, green",Flavornet
α-thujene,2867-05-2,"wood, green, herb",Flavornet
2-pentanol,6032-29-7,green,Flavornet
2-hepten-1-al,2463-63-0,green,Flavornet
heptenal,18829-55-5,"soap, fat, almond",Flavornet
benzaldehyde,100-52-7,"almond, burnt sugar",Flavornet
heptanol,111-70-6,"chemical, green",Flavornet
methionol,505-10-2,"sweet, potato",Flavornet
octanone,106-68-3,"herb, butter, resin",Flavornet
dimethyl trisulfide,3658-80-8,"sulfur, fish, cabbage",Flavornet
3-mercaptothiophene,7774-73-4,cooked meat,Flavornet
ethyl isohexanoate,25415-67-2,fruit,Flavornet
dimethylfuranthiol,55764-23-3,meat,Flavornet
4-methylthio-2-butanone,34047-39-7,fruit,Flavornet
methyldihydrothiophenone,13679-85-1,"cabbage, onion, must",Flavornet
filbertone,102322-83-8,"hazelnut, nut",Flavornet
mercaptomethylbutanol,34300-94-2,meat broth,Flavornet
octenone,4312-99-6,"mushroom, metal",Flavornet
(E)-2-penten-1-ol,1576-96-1,mushroom,Flavornet
camphene,79-92-5,camphor,Flavornet
octenol,3391-86-4,mushroom,Flavornet
5-methylfurfural,620-02-0,"almond, caramel, burnt sugar",Flavornet
phenol,108-95-2,phenol,Flavornet
methylisohexenyl ketone,110-93-0,"pepper, mushroom, rubber",Flavornet
octadienone,65767-22-8,"geranium, metal",Flavornet
sabinene,3387-41-5,"pepper, turpentine, wood",Flavornet
"1,5-octadien-3-ol",83861-74-9,"earth, herb",Flavornet
"1,5-octadienone",359794-78-8,"earth, must",Flavornet
"2,3-dehydro-1,8-cineole",92760-25-3,"mint, lemon",Flavornet
pentylfuran,3777-69-3,"green bean, butter",Flavornet
ethylmethyl pyrazine,13360-64-0,"fruit, sweet",Flavornet
trimethylthiazole,13623-11-5,earth,Flavornet
2-formylthiophene,98-03-3,sulfur,Flavornet
octanal,124-13-0,"fat, soap, lemon, green",Flavornet
octanone,111-13-7,"soap, gasoline",Flavornet
methyldithiolane,5616-51-3,sulfur,Flavornet
"2,4-heptadienal",4313-02-4,fried,Flavornet
trimethyl-pyrazine,14667-55-1,"roast, potato, must",Flavornet
ethyl hexanoate,123-66-0,"apple peel, fruit",Flavornet
2-methyl anisole,578-58-5,"warm, flower, walnut",Flavornet
β-pinene,127-91-3,"pine, resin, turpentine",Flavornet
2-octanol,123-96-6,"mushroom, fat",Flavornet
β-carene,554-60-9,orange peel,Flavornet
hexenyl acetate,3681-71-8,"green, banana",Flavornet
(+)-α-phellandrene,2243-33-6,dill,Flavornet
myrcene,123-35-3,"balsamic, must, spice",Flavornet
ethyl lactate,97-64-3,fruit,Flavornet
"2,4-heptadienal",4313-03-5,"nut, fat",Flavornet
octanol,589-98-0,"moss, nut, mushroom",Flavornet
acetylpyridine,1122-62-9,popcorn,Flavornet
hexyl acetate,142-92-7,"fruit, herb",Flavornet
"2,3,4,5-tetrahydroanisole",931-57-7,"herb, spice",Flavornet
5-(methylthio)-valeronitrile,59121-25-4,"broccoli, cabbage",Flavornet
methylfurfurylthiol,59303-05-8,"sulfur, roast",Flavornet
decane,124-18-5,alkane,Flavornet
"1,4-cineole",470-67-7,spice,Flavornet
β-cubebene,13744-15-5,"citrus, fruit",Flavornet
acetylthiazole,24295-03-2,"roast, nut, sulfur",Flavornet
phenylethanal,122-78-1,"hawthorne, honey, sweet",Flavornet
mercaptomethylbutyl formate,50746-10-6,"cat, roast",Flavornet
acetylpyrazine,22047-25-2,roast,Flavornet
propionylpyrroline,133447-37-7,roast,Flavornet
α-phellandrene,99-83-2,"turpentine, mint, spice",Flavornet
Propionylpyrrole,1073-26-3,"roast, popcorn",Flavornet
"(+)-limonene,",5989-27-5,"citrus, mint",Flavornet
"1,8-cineole",470-82-6,"mint, sweet",Flavornet
2-ethylhexanol,104-76-7,"rose, green",Flavornet
δ-3-carene,13466-78-9,"lemon, resin",Flavornet
"2-acetyl-1,4,5,6-tetrahydropyridine",25343-57-1,caramel,Flavornet
methylethylpyrazine,33504-66-4,sweat,Flavornet
α-terpinene,99-86-5,lemon,Flavornet
benzylmethyl ether,538-86-3,metal,Flavornet
(E)-3-hexenol,928-97-2,"moss, fresh",Flavornet
limonene,138-86-3,"lemon, orange",Flavornet
ethyl hydroxybutanoate,999-10-0,caramel,Flavornet
3-octenone,51193-77-2,nut,Flavornet
isopropyl hexanoate,2311-46-8,fresh,Flavornet
3-octen-2-one,1669-44-9,"nut, crushed bug",Flavornet
furaneol™,3658-77-3,caramel,Flavornet
methyl octanoate,111-11-5,orange,Flavornet
acetophenone,98-86-2,"must, flower, almond",Flavornet
p-cymene,99-87-6,"solvent, gasoline, citrus",Flavornet
"(Z)-ocimene,",3338-55-4,"citrus, herb, flower",Flavornet
isobutyl thiazole,18640-74-9,"tomato leaf, green",Flavornet
4-mercapto-4-methyl-2-pentanone,19872-52-7,box tree,Flavornet
butyl methylbutyrate,15706-73-7,"fruit, cocoa",Flavornet
norfuraneol,19322-27-1,caramel,Flavornet
2-acetylpyrrole,1072-83-9,"nut, walnut, bread",Flavornet
methylethyl pyrazine,15707-23-0,roast,Flavornet
methyl-thiophenethiol,2527-76-6,medicine,Flavornet
2-octenal,2548-87-0,"green, nut, fat",Flavornet
5-isopropyl-2-methylpyrazine,13925-05-8,sweat,Flavornet
2-octenal,20664-46-4,"green leaf, walnut",Flavornet
dimethylmethoxyfuranone,4077-47-8,"caramel, sweet, mildew",Flavornet
β-phellandrene,555-10-2,"mint, terpentine",Flavornet
