Compound_Name,CAS_Number,Flavor_Description,Source
perillaldehyde,18031-40-8,fat,Flavornet
(E)-oak lactone,39638-67-0,"coconut, flower",Flavornet
hydrocinnamic acid,501-52-0,balsamic,Flavornet
4-hexanolide,695-06-7,"coumarin, sweet",Flavornet
p-vinylguaiacol,7786-61-0,"clove, curry",Flavornet
methyl decanoate,110-42-9,wine,Flavornet
p-mentha-dien-hydroperoxide,32495-14-0,turpentine,Flavornet
ethylhydroxyhexanoate,2305-25-1,fresh,Flavornet
dimethoxytoluene,131092-10-9,hummus,Flavornet
oxodecanal,43160-78-7,fat,Flavornet
4-methylthiazole,693-95-8,roasted meat,Flavornet
benzyl butanoate,103-37-7,plum,Flavornet
dihydrocarvyl acetate,20777-49-5,"mint, camphor, medicine",Flavornet
δ-muurolene,120021-96-7,oil,Flavornet
methyl anthranilate,134-20-3,"honey, flower",Flavornet
p-methoxystyrene,637-69-4,sweet,Flavornet
p-menthadienhydroperoxide,77026-83-6,turpentine,Flavornet
heptyl 2-methylbutyrate,50862-12-9,apple,Flavornet
acetyloxy-dimethylfuranone,4166-20-5,caramel,Flavornet
cuminic alcohol,536-60-7,"wood, herb",Flavornet
δ-elemene,20307-84-0,wood,Flavornet
ethylfuranone,2313-01-1,spice,Flavornet
butyl benzoate,136-60-7,balsamic,Flavornet
α-cubebene,17699-14-8,"herb, wax",Flavornet
2-undecenal,2463-77-6,sweet,Flavornet
ethyl dihydrocinnamate,2021-28-5,flower,Flavornet
citronellyl acetate,150-84-5,"rose, dust",Flavornet
terpinyl acetate,80-26-2,wax,Flavornet
(E)-2-undecenal,53448-07-0,"soap, fat, green",Flavornet
neryl acetate,141-12-8,fruit,Flavornet
vanillin,121-33-5,vanilla,Flavornet
p-menthadienhydroperoxide,94268-57-2,turpentine,Flavornet
γ-nonalactone,104-61-0,"coconut, peach",Flavornet
α-copaene,3856-25-5,"wood, spice",Flavornet
undecanol,112-42-5,mandarin,Flavornet
acetylpyrrolizine,55041-85-5,medicine,Flavornet
decanoic acid,334-48-5,"rancid, fat",Flavornet
β-damascenone,23726-93-4,"apple. rose, honey",Flavornet
epoxy-2-decenal,134454-31-2,"metal, green",Flavornet
(Z)-3-hexenyl hexanoate,31501-11-8,"fruit, prune",Flavornet
p-menthadienhydroperoxide,77026-84-7,turpentine,Flavornet
geranyl acetate,105-87-3,rose,Flavornet
"(E,Z)-3,6-nonadien-1-ol",56805-23-3,fish,Flavornet
hexyl hexanoate,6378-65-0,"apple peel, peach",Flavornet
skatole,83-34-1,"mothball, fecal",Flavornet
butyl octanoate,589-75-3,fruit,Flavornet
styrene glycol,25779-13-9,sweet,Flavornet
dehydro-ar-ionene,30364-38-6,licorice,Flavornet
β-elemene,33880-83-0,"herb, wax, fresh",Flavornet
isobornyl propionate,2756-56-1,"fruit, turpentine",Flavornet
ethylfuranone,2407-43-4,spice,Flavornet
eugenol,97-53-0,"clove, honey",Flavornet
methylene bis(methyl sulfide),1618-26-4,"garlic, sulfur",Flavornet
ethyl decanoate,110-38-3,grape,Flavornet
cis-linalool pyran oxide,14009-71-3,"citrus, green",Flavornet
methyl eugenol,93-15-2,"clove, spice",Flavornet
lauric aldehyde,112-54-9,"lily, fat, citrus",Flavornet
decyl alcohol,112-17-4,"orange, oil",Flavornet
carvyl acetate,97-42-7,"green, spearmint",Flavornet
α-gurjunene,489-40-7,"wood, balsamic",Flavornet
geosmin,19700-21-1,"beet, earth",Flavornet
(E)-β-damascone,23726-91-2,apple,Flavornet
tetradecane,629-59-4,alkane,Flavornet
β-bourbonene,5208-59-3,herb,Flavornet
(-)-γ-elemene,29873-99-2,"green, wood, oil",Flavornet
α-ionone,127-41-3,"wood, violet",Flavornet
(E)-α-bergamotene,13474-59-4,"wood, warm, tea",Flavornet
β-selinene,17066-67-0,herb,Flavornet
ethyl salicylate,118-61-6,"wintergreen, mint",Flavornet
linalyl butyrate,78-36-4,"pear, sweet",Flavornet
isocaryophyllene,118-65-0,wood,Flavornet
coumarin,91-64-5,"green, sweet",Flavornet
γ-decalactone,706-14-9,"peach, fat",Flavornet
erucin,4430-36-8,cabbage,Flavornet
geranyl acetone,3796-70-1,"magnolia, green",Flavornet
α-guaiene,3691-12-1,"wood, balsamic",Flavornet
β-caryophyllene,87-44-5,"wood, spice",Flavornet
γ-selinene,515-17-3,wood,Flavornet
wine lactone,182699-77-0,"coconut, spice",Flavornet
δ-decalactone,705-86-2,coconut,Flavornet
isogeraniol,16750-94-0,rose,Flavornet
2-dodecenal,20407-84-5,"green, fat, sweet",Flavornet
butyl decanoate,30673-36-0,whiskey,Flavornet
cinnamic acid,140-10-3,honey,Flavornet
β-farnesene,18794-84-8,"wood, citrus, sweet",Flavornet
ethyl cinnamate,103-36-6,"honey, cinnamon",Flavornet
δ-decalactone,2825-91-4,peach,Flavornet
aromadendrene,489-39-4,wood,Flavornet
R-δ-decenolactone,54814-64-1,peach,Flavornet
linalyl isovalerate,1118-27-0,"sweet, apple, citrus",Flavornet
asaricin,18607-93-7,"spice, pepper",Flavornet
"ethyl-(E,Z)-2,4-decadienoate",3025-30-7,pear,Flavornet
elemicin,487-11-6,"spice, flower",Flavornet
β-guaiene,88-84-6,"wood, spice",Flavornet
β-ionone,79-77-6,"seaweed, violet, flower, raspberry",Flavornet
epoxy-2-undecenal,134346-43-3,metal,Flavornet
citronellyl isobutyrate,97-89-2,"fruit, rose",Flavornet
p-coumaric acid,501-98-4,balsamic,Flavornet
p-menth-1-en-9-yl acetate,28839-13-6,"fruit, herb",Flavornet
p-menth-1-en-9-ol,18479-68-0,"fruit, herb",Flavornet
α-humulene,6753-98-6,wood,Flavornet
valencene,4630-07-3,"green, oil",Flavornet
bornyl butyrate,13109-70-1,"herb, wood",Flavornet
undecylic acid,112-37-8,oil,Flavornet
isopiperitone,58615-39-7,"sweet, fruit",Flavornet
ethyl laurate,106-33-2,leaf,Flavornet
α-zingiberene,495-60-3,"spice, fresh, sharp",Flavornet
alloaromadendrene,25246-27-9,wood,Flavornet
γ-muurolene,30021-74-0,"herb, wood, spice",Flavornet
tridecanal,10486-19-8,"flower, sweet, must",Flavornet
methyl laurate,111-82-0,"fat, coconut",Flavornet
bis(2-methyl-3-furyl)disulphide,28588-75-2,roasted meat,Flavornet
raspberry ketone,5471-51-2,raspberry,Flavornet
pentadecane,629-62-9,alkane,Flavornet
germacrene D,23986-74-5,"wood, spice",Flavornet
bicyclogermacrene,24703-35-3,"green, wood",Flavornet
linalyl valerate,10471-96-2,"citrus, lavender",Flavornet
α-muurolene,10208-80-7,wood,Flavornet
berteroin,4430-42-6,cabbage,Flavornet
3-mercaptohexanol,51755-83-0,sulfur,Flavornet
citronellyl butyrate,141-16-2,"fruit, sweet, rose",Flavornet
bornyl isovalerate,76-50-6,"herb, earth, green",Flavornet
(-)-β-bisabolene,495-61-4,balsamic,Flavornet
myristicin,607-91-0,"spice, warm, balsamic",Flavornet
α-farnesene,502-61-4,"wood, sweet",Flavornet
cadinadiene,29837-12-5,"spice, fruit",Flavornet
(Z)-oak-lactone,55013-32-6,spice,Flavornet
γ-cadinene,39029-41-9,wood,Flavornet
elemol,639-99-6,"green, wood",Flavornet
δ-cadinene,483-76-1,"thyme, medicine, wood",Flavornet
geranyl butyrate,106-29-6,"fruit, rose, apple",Flavornet
α-curcumene,644-30-4,herb,Flavornet
caryophyllene alcohol,56747-96-7,"moss, earth, spice",Flavornet
β-sesquiphellandrene,20307-83-9,wood,Flavornet
germacrene B,15423-57-1,"wood, earth, spice",Flavornet
(Z)-nerolidol,3790-78-1,wax,Flavornet
hexyl octanoate,1117-55-1,"herb, green, oil",Flavornet
calamenene,483-77-2,"herb, spice",Flavornet
isopropyl benzoate,939-48-0,"sweet, fruit",Flavornet
12-methyltridecanal,75853-49-5,"cooked meat, tallow, fat, meat broth, sweat",Flavornet
lauryl alcohol,112-53-8,"fat, wax",Flavornet
nerolidol,40716-66-3,"wood, flower, wax",Flavornet
guaiol,489-86-1,"wood, balsamic",Flavornet
dehydrocarveol,28982-60-7,"oil, herb",Flavornet
tridecanol,112-70-9,must,Flavornet
(E)-isoelemicin,5273-85-8,"spice, flower",Flavornet
dill apiol,484-31-1,"wood, spice",Flavornet
cedrenol,28231-03-0,fruit,Flavornet
δ-undecalactone,710-04-3,peach,Flavornet
geranyl isovalerate,109-20-6,"fruit, rose, apple",Flavornet
epoxy-β-ionone,23267-57-4,"fruit, sweet, wood",Flavornet
tetradecyl aldehyde,124-25-4,"flower, wax",Flavornet
(E)-2-hexenoic acid,13419-69-7,"must, fat",Flavornet
hexadecane,544-76-3,alkane,Flavornet
caryophyllene oxide,1139-30-6,"herb, sweet, spice",Flavornet
spathulenol,6750-60-3,"herb, fruit",Flavornet
levomenol,23089-26-1,herb,Flavornet
citronellyl valerate,7540-53-6,"warm, honey, herb, rose",Flavornet
methyl jasmonate,1211-29-6,jasmine,Flavornet
(E)-Whiskey lactone,80041-01-6,"flower, lactone",Flavornet
(Z)-whiskey lactone,80041-00-5,coconut,Flavornet
β-caryophyllene alcohol,472-97-9,"earth, moss",Flavornet
humulene oxide,19888-33-6,herb,Flavornet
(-)-cubenol,21284-22-0,"spice, herb, green tea",Flavornet
geranyl valerate,10402-47-8,"rose, fruit",Flavornet
methyl tetradecanoate,124-10-7,orris,Flavornet
bulnesol,22451-73-6,spice,Flavornet
β-eudesmol,473-15-4,"wood, green",Flavornet
(Z)-6-dodecen-γ-lactone,15456-69-6,soap,Flavornet
methyl epijasmonate,95722-42-2,jasmine,Flavornet
"cadina-1,4-dien-3-ol",114791-16-1,"wood, spice",Flavornet
(Z)-6-dodecene-γ-lactone,18679-18-0,"peach, sweet",Flavornet
α-bisabolol,515-69-5,"spice, flower",Flavornet
oxo-β-ionone,29790-29-2,wood,Flavornet
methyl dihydroepijasmonate,39647-11-5,jasmine,Flavornet
β-bisabolol,15352-77-9,"sweet, herb",Flavornet
butyl laurate,106-18-3,oil,Flavornet
δ-cadinol,36564-42-8,herb,Flavornet
T-muurolol,19912-62-0,"herb, weak spice",Flavornet
7-methoxycoumarin,531-59-9,"balsamic, sweet",Flavornet
pantolactone,599-04-2,cotton candy,Flavornet
γ-dodecalactone,2305-05-7,"sweet, fruit, flower",Flavornet
zingiberenol,58334-55-7,metal,Flavornet
"2,6-dimethylnaphthalene",581-42-0,grass,Flavornet
α-cadinol,481-34-5,"herb, wood",Flavornet
(E)-2-dodecen-1-ol,69064-37-5,oil,Flavornet
7-heptadecene,54290-12-9,alkane,Flavornet
ethyl tetradecanoate,124-06-1,ether,Flavornet
β-farnesol,58181-76-3,"flower, oil",Flavornet
α-caryophyllene alcohol,4586-22-5,earth,Flavornet
methyl cinnamate,1754-62-7,strawberry,Flavornet
diethyl malate,7554-12-3,"brown sugar, sweet",Flavornet
β-sinensal,60066-88-8,sweet,Flavornet
pentadecanal,2765-11-9,fresh,Flavornet
heptadecane,629-78-7,alkane,Flavornet
δ-dodecalactone,713-95-1,"fruit, sweet",Flavornet
(E)-farnesol,106-28-5,muguet,Flavornet
ethyl-(E)-cinnamate,4192-77-2,"flower, honey",Flavornet
viridiflorol,552-02-3,"green, sweet",Flavornet
trimethylphenylbutenone,57461-21-9,"flower, green",Flavornet
benzyl benzoate,120-51-4,"balsamic, oil, herb",Flavornet
methyl furaneol,27538-09-6,"cotton candy, sweet",Flavornet
bornyl benzoate,26927-90-2,"pine, balsamic",Flavornet
perhydrofarnesylacetone,502-69-2,fat,Flavornet
10-epi-γ-eudesmol,15051-81-7,"sweet, wood, flower",Flavornet
(+)-nootkatone,4674-50-4,grapefruit,Flavornet
hexadecanone,18787-63-8,fruit,Flavornet
4-propyl-guaiacol,2785-87-7,phenol,Flavornet
palmitaldehyde,629-80-1,cardboard,Flavornet
(-)-nootkatone,38427-78-0,terpentine,Flavornet
octadecane,593-45-3,alkane,Flavornet
Diethyl 2-hydroxyglutarate,69134-53-8,cotton candy,Flavornet
uncineol,1209-71-8,"wax, sweet",Flavornet
phenylethyl benzoate,97-47-3,"flower, honey",Flavornet
p-hydroethylbenzene,123-07-9,"phenol, spice",Flavornet
α-calacorene,21391-99-1,wood,Flavornet
hexadecanol,29354-98-1,"flower, wax",Flavornet
cetyl alcohol,36653-82-4,"wax, flower",Flavornet
4-Carbethoxybutyrolactone,1126-51-8,"roast, smoke",Flavornet
eudesmol,123123-38-6,"sweet, wood",Flavornet
ethyl hexadecanoate,628-97-7,wax,Flavornet
isoeugenol,97-54-1,flower,Flavornet
nonadecane,629-92-5,alkane,Flavornet
γ-undecalactone,104-67-6,apricot,Flavornet
"(E,E)-farnesyl acetate",4128-17-0,"oil, wax",Flavornet
trimethylphenylbutenone,81018-77-1,"flower, green",Flavornet
syringol,91-10-1,"medicine, phenol, smoke",Flavornet
isopropyl palmitate,142-91-6,fat,Flavornet
diethyl tartrate,87-91-2,"earth, must",Flavornet
"(E,E)-farnesylacetone",1117-52-8,"flower, ether",Flavornet
eicosane,112-95-8,alkane,Flavornet
(E)-isoeugenol,5932-68-3,flower,Flavornet
octadecanaldehyde,638-66-4,oil,Flavornet
4-vinylphenol,2628-17-3,almond shell,Flavornet
oleic acid,112-80-1,fat,Flavornet
methyl octadecenoate,112-61-8,fat,Flavornet
hydroxycalamenene,95908-33-1,herb,Flavornet
tetradecanol,112-72-1,coconut,Flavornet
heneicosane,629-94-7,alkane,Flavornet
phytol,150-86-7,flower,Flavornet
5-oxymethylfurfurole,67-47-0,cardboard,Flavornet
lauric acid,143-07-7,metal,Flavornet
docosane,629-97-0,alkane,Flavornet
6-Methoxyeugenol,6627-88-9,"sweet, flower",Flavornet
stearyl alcohol,112-92-5,oil,Flavornet
methyl vanillate,3943-74-6,"caramel, butterscotch, vanilla",Flavornet
ethyl vanillate,617-05-0,"flower, fruit, sweet, vanilla",Flavornet
acetovanillone,498-02-2,vanilla,Flavornet
3-oxo-α-ionol,34318-21-3,spice,Flavornet
tricosane,638-67-5,alkane,Flavornet
