Compound_Name,CAS_Number,Odor_Description,RI_OV101,RI_DB5,RI_OV17,RI_C20M
(E)-carveol,1197-07-5,"caraway, solvent",1200,1217,1360,1839
(Z)-piperitol,491-04-3,herb,1203,1220,1394,1651
linalyl formate,115-99-1,"citrus, coriander",1206,1223,1313,1570
methyl nonanoate,1731-84-6,coconut,1207,1224,1315,1572
(-)-carvone,6485-40-1,mint,1210,1254,1345,1751
diethyl malonate,105-53-3,apple,1211,1228,1319,1576
syntexan,67-68-5,garlic,1211,1228,1319,1576
furfurylmethyldisulphide,57500-00-2,smoke,1212,1229,1320,1820
(Z)-carveol,1197-06-4,caraway,1212,1229,1320,1846
myrtenal,23727-16-4,spice,1216,1233,1324,1596
piperitol,16721-39-4,herb,1216,1233,1396,1653
methyl salicylate,119-36-8,peppermint,1217,1234,1488,1745
epoxy-p-menthene,13955-48-1,"mint, dill",1218,1235,1315,1572
γ-octalactone,104-50-7,coconut,1220,1261,1475,1881
hexyl methylbutyrate,10032-15-2,strawberry,1222,1239,1330,1587
benzothiazole,95-16-9,"gasoline, rubber",1223,1240,1331,1588
phenyl cyanide,100-47-0,rancid,1226,1243,1334,1591
3-mercaptohexyl-acetate,136954-20-6,box tree,1227,1244,1478,1735
piperitone,89-81-6,"mint, fresh",1228,1245,1336,1593
isobornyl formate,1200-67-5,"green, earth, camphor",1228,1245,1339,1596
citronellol,106-22-9,rose,1229,1233,1344,1762
dihydromethylcyclopentapyrazine,23747-48-0,"roast, nut",1231,1248,1339,1596
neral,106-26-3,lemon,1231,1247,1383,1667
chavicol,501-92-8,"medicine, phenol",1232,1249,1340,1597
β-cyclocitral,432-25-7,mint,1233,1250,1341,1598
2-decenal,2497-25-8,tallow,1233,1250,1341,1601
2-decenal,3913-71-1,orange,1233,1250,1354,1611
β-phenethyl acetate,103-45-7,"rose, honey, tobacco",1233,1260,1356,1829
2-decenal,3913-81-3,tallow,1234,1262,1368,1590
nerol,106-25-2,sweet,1234,1233,1353,1770
(R)-linden ether,125811-37-2,mint,1235,1252,1330,1587
ethyl phenylacetate,101-97-3,"fruit, sweet",1235,1252,1343,1600
hydrocinnamic alcohol,122-97-4,"cinnamon, anise, fruit",1235,1252,1343,1600
methylnonanedione,113486-29-6,"straw, fruit",1236,1253,1397,1700
DL-carvone,99-49-0,"mint, basil, fennel",1236,1253,1383,1720
phenylacetic acid,103-82-2,"honey, flower",1236,1262,1353,2551
citral,5392-40-5,lemon,1237,1254,1345,1602
isogeraniol,5944-20-7,rose,1237,1254,1525,1782
(+)-carvone,2244-16-8,caraway,1238,1255,1382,1639
bornyl formate,7492-41-3,green,1239,1256,1353,1610
p-anisyl alcohol,105-13-5,flower,1241,1258,1349,1606
sulfurol,137-00-8,sulfur,1241,1258,1349,1606
cumin aldehyde,122-03-2,"acid, sharp",1241,1224,1315,1759
linalyl acetate,115-95-7,"sweet, fruit",1244,1261,1352,1569
perilla aldehyde,2111-75-3,spice,1245,1271,1362,1818
p-anisaldehyde,123-11-5,"mint, sweet",1246,1263,1424,1681
decanol,112-30-1,fat,1252,1263,1354,1765
o-aminoacetophenone,551-93-9,"foxy, sweet",1252,1309,1400,2223
isopulegyl acetate,89-49-6,"mint, leaf",1258,1275,1328,1585
geranial,141-27-5,"lemon, mint",1258,1277,1416,1715
geraniol,106-24-1,"rose, geranium",1258,1276,1367,1847
nonanoic acid,112-05-0,"green, fat",1258,1275,1366,2202
benzoic acid,65-85-0,urine,1259,1276,1367,1624
epoxy-2-nonenal,128386-31-2,metal,1262,1279,1434,1691
octanoic acid,124-07-2,"sweat, cheese",1262,1279,1370,2083
safrole,94-59-7,"spice, sweet, warm",1263,1280,1371,1628
p-menthenethiol,71159-90-5,grapefruit,1266,1283,1348,1598
(E)-cinnamaldehyde,14371-10-9,"cinnamon, paint",1266,1283,1374,1631
"2,4-decadienal",65909-91-3,seaweed,1267,1284,1375,1632
4-ethylguaiacol,2785-89-9,"spice, clove",1270,1287,1424,2031
5-octanolide,698-76-0,peach,1271,1288,1515,1924
methyl quinoxaline,7251-61-8,"roast, nut, fruit",1272,1289,1380,1637
indole,120-72-9,"mothball, burnt",1275,1292,1524,2450
"1,3-p-menthadien-7-al",1197-15-5,"fat, spice",1276,1293,1415,1672
undecanone,112-12-9,"orange, fresh, green",1279,1296,1388,1543
decadienal,25152-83-4,"fried, fat",1280,1297,1417,1710
dihydroterpinyl acetate,58985-18-5,"pine, citrus",1282,1299,1304,1561
γ-butyrolactone,96-48-0,"caramel, sweet",1282,1299,1390,1647
(Z)-β-Farnesene,28973-97-9,"citrus, green",1283,1300,1391,1648
safranal,116-26-7,"herb, sweet",1283,1300,1391,1648
methyl geranate,1189-09-9,"flower, green, fruit",1284,1301,1309,1566
nonyl acetate,143-13-5,"sweet, fruit",1285,1302,1393,1585
decadienal,25152-84-5,"fried, wax, fat",1288,1317,1434,1710
undecanaldehyde,112-44-7,"oil, pungent, sweet",1288,1291,1382,2444
α-terpineol,98-55-5,"oil, anise, mint",1289,1195,1300,1688
ethyl undecanoate,627-90-7,"cognac, coconut",1290,1307,1398,1655
isopentyldimethylpyrazine,18433-98-2,fruit,1295,1312,1403,1660
cinnamyl alcohol,104-54-1,oil,1295,1312,1403,2300
tridecane,629-50-5,alkane,1300,1300,1300,1300
perillaldehyde,18031-40-8,fat,1302,1319,1410,1765
(E)-oak lactone,39638-67-0,"coconut, flower",1304,1321,1412,1933
hydrocinnamic acid,501-52-0,balsamic,1304,1321,2393,2650
4-hexanolide,695-06-7,"coumarin, sweet",1306,1323,1414,1671
p-vinylguaiacol,7786-61-0,"clove, curry",1306,1323,1472,2198
methyl decanoate,110-42-9,wine,1307,1324,1334,1591
p-mentha-dien-hydroperoxide,32495-14-0,turpentine,1310,1327,1489,1746
ethylhydroxyhexanoate,2305-25-1,fresh,1312,1329,1420,1677
dimethoxytoluene,131092-10-9,hummus,1313,1330,1421,1678
oxodecanal,43160-78-7,fat,1316,1333,1424,1681
4-methylthiazole,693-95-8,roasted meat,1316,1333,1424,1681
benzyl butanoate,103-37-7,plum,1318,1335,1426,1683
dihydrocarvyl acetate,20777-49-5,"mint, camphor, medicine",1319,1336,1413,1670
δ-muurolene,120021-96-7,oil,1319,1336,1427,1684
methyl anthranilate,134-20-3,"honey, flower",1320,1337,2003,2260
p-methoxystyrene,637-69-4,sweet,1321,1338,1429,1686
p-menthadienhydroperoxide,77026-83-6,turpentine,1321,1338,1503,1760
heptyl 2-methylbutyrate,50862-12-9,apple,1322,1339,1430,1687
acetyloxy-dimethylfuranone,4166-20-5,caramel,1322,1339,1430,2005
cuminic alcohol,536-60-7,"wood, herb",1322,1284,1375,2058
δ-elemene,20307-84-0,wood,1323,1340,1431,1688
ethylfuranone,2313-01-1,spice,1325,1342,1433,1690
butyl benzoate,136-60-7,balsamic,1326,1343,1434,1691
α-cubebene,17699-14-8,"herb, wax",1328,1345,1436,1463
2-undecenal,2463-77-6,sweet,1333,1350,1455,1712
ethyl dihydrocinnamate,2021-28-5,flower,1334,1351,1442,1906
citronellyl acetate,150-84-5,"rose, dust",1335,1357,1448,1607
terpinyl acetate,80-26-2,wax,1335,1352,1443,1700
(E)-2-undecenal,53448-07-0,"soap, fat, green",1342,1366,1483,1760
neryl acetate,141-12-8,fruit,1345,1362,1485,1742
vanillin,121-33-5,vanilla,1345,1410,1635,2569
p-menthadienhydroperoxide,94268-57-2,turpentine,1348,1365,1549,1806
γ-nonalactone,104-61-0,"coconut, peach",1349,1366,1559,2042
α-copaene,3856-25-5,"wood, spice",1353,1377,1468,1488
undecanol,112-42-5,mandarin,1354,1371,1462,1719
acetylpyrrolizine,55041-85-5,medicine,1354,1371,1776,2033
decanoic acid,334-48-5,"rancid, fat",1356,1373,1464,2361
β-damascenone,23726-93-4,"apple. rose, honey",1363,1386,1498,1813
epoxy-2-decenal,134454-31-2,"metal, green",1363,1380,1554,2020
(Z)-3-hexenyl hexanoate,31501-11-8,"fruit, prune",1364,1381,1472,1729
p-menthadienhydroperoxide,77026-84-7,turpentine,1364,1381,1562,1819
geranyl acetate,105-87-3,rose,1365,1382,1473,1711
"(E,Z)-3,6-nonadien-1-ol",56805-23-3,fish,1366,1383,1474,1731
hexyl hexanoate,6378-65-0,"apple peel, peach",1369,1379,1470,1727
skatole,83-34-1,"mothball, fecal",1370,1387,1628,2484
butyl octanoate,589-75-3,fruit,1371,1388,1353,1610
styrene glycol,25779-13-9,sweet,1372,1389,1480,1737
dehydro-ar-ionene,30364-38-6,licorice,1372,1389,1480,1737
β-elemene,33880-83-0,"herb, wax, fresh",1376,1393,1484,1595
isobornyl propionate,2756-56-1,"fruit, turpentine",1376,1393,1419,1676
ethylfuranone,2407-43-4,spice,1380,1397,1488,1745
eugenol,97-53-0,"clove, honey",1381,1364,1500,2141
methylene bis(methyl sulfide),1618-26-4,"garlic, sulfur",1383,1400,1491,2009
ethyl decanoate,110-38-3,grape,1384,1398,1489,1636
cis-linalool pyran oxide,14009-71-3,"citrus, green",1385,1402,1493,1750
methyl eugenol,93-15-2,"clove, spice",1390,1407,1498,1755
lauric aldehyde,112-54-9,"lily, fat, citrus",1391,1409,1500,1722
decyl alcohol,112-17-4,"orange, oil",1394,1408,1499,1692
carvyl acetate,97-42-7,"green, spearmint",1394,1411,1502,1759
α-gurjunene,489-40-7,"wood, balsamic",1395,1412,1503,1760
geosmin,19700-21-1,"beet, earth",1395,1412,1513,1770
(E)-β-damascone,23726-91-2,apple,1398,1415,1506,1805
tetradecane,629-59-4,alkane,1400,1400,1400,1400
β-bourbonene,5208-59-3,herb,1400,1417,1328,1585
(-)-γ-elemene,29873-99-2,"green, wood, oil",1408,1425,1516,1636
α-ionone,127-41-3,"wood, violet",1408,1422,1552,1809
(E)-α-bergamotene,13474-59-4,"wood, warm, tea",1414,1431,1522,1779
β-selinene,17066-67-0,herb,1419,1436,1454,1711
ethyl salicylate,118-61-6,"wintergreen, mint",1419,1436,1527,1784
linalyl butyrate,78-36-4,"pear, sweet",1420,1437,1423,1680
isocaryophyllene,118-65-0,wood,1421,1438,1313,1570
coumarin,91-64-5,"green, sweet",1422,1439,1670,2465
γ-decalactone,706-14-9,"peach, fat",1424,1472,1697,2103
erucin,4430-36-8,cabbage,1430,1447,1538,1795
geranyl acetone,3796-70-1,"magnolia, green",1431,1448,1583,1840
α-guaiene,3691-12-1,"wood, balsamic",1436,1453,1544,1801
β-caryophyllene,87-44-5,"wood, spice",1438,1467,1558,1594
γ-selinene,515-17-3,wood,1438,1455,1546,1803
wine lactone,182699-77-0,"coconut, spice",1439,1456,1688,2209
δ-decalactone,705-86-2,coconut,1440,1525,1733,2216
isogeraniol,16750-94-0,rose,1447,1464,1555,1812
2-dodecenal,20407-84-5,"green, fat, sweet",1448,1462,1553,1807
butyl decanoate,30673-36-0,whiskey,1450,1467,1558,1815
cinnamic acid,140-10-3,honey,1450,1467,1791,2048
β-farnesene,18794-84-8,"wood, citrus, sweet",1451,1445,1536,1658
ethyl cinnamate,103-36-6,"honey, cinnamon",1452,1469,1560,2139
δ-decalactone,2825-91-4,peach,1452,1469,1560,2208
aromadendrene,489-39-4,wood,1458,1475,1343,1600
R-δ-decenolactone,54814-64-1,peach,1460,1477,1568,2241
linalyl isovalerate,1118-27-0,"sweet, apple, citrus",1461,1478,1441,1698
asaricin,18607-93-7,"spice, pepper",1462,1479,1570,1827
"ethyl-(E,Z)-2,4-decadienoate",3025-30-7,pear,1462,1479,1570,1832
elemicin,487-11-6,"spice, flower",1462,1514,1605,1862
β-guaiene,88-84-6,"wood, spice",1466,1483,1574,1831
β-ionone,79-77-6,"seaweed, violet, flower, raspberry",1466,1493,1620,1912
epoxy-2-undecenal,134346-43-3,metal,1467,1484,1652,2094
citronellyl isobutyrate,97-89-2,"fruit, rose",1469,1486,1448,1705
p-coumaric acid,501-98-4,balsamic,1469,1486,1577,1834
p-menth-1-en-9-yl acetate,28839-13-6,"fruit, herb",1469,1486,1577,1834
p-menth-1-en-9-ol,18479-68-0,"fruit, herb",1469,1486,1577,1904
α-humulene,6753-98-6,wood,1472,1467,1558,1663
valencene,4630-07-3,"green, oil",1473,1490,1581,1726
bornyl butyrate,13109-70-1,"herb, wood",1473,1490,1503,1760
undecylic acid,112-37-8,oil,1473,1490,1581,2407
isopiperitone,58615-39-7,"sweet, fruit",1476,1493,1584,1841
ethyl laurate,106-33-2,leaf,1477,1494,1585,1842
α-zingiberene,495-60-3,"spice, fresh, sharp",1477,1494,1585,1842
alloaromadendrene,25246-27-9,wood,1479,1496,1382,1639
γ-muurolene,30021-74-0,"herb, wood, spice",1488,1475,1566,1681
tridecanal,10486-19-8,"flower, sweet, must",1488,1503,1594,1824
methyl laurate,111-82-0,"fat, coconut",1492,1509,1600,1795
bis(2-methyl-3-furyl)disulphide,28588-75-2,roasted meat,1496,1540,1640,2150
raspberry ketone,5471-51-2,raspberry,1498,1515,1606,1863
pentadecane,629-62-9,alkane,1500,1500,1500,1500
germacrene D,23986-74-5,"wood, spice",1500,1487,1578,1705
bicyclogermacrene,24703-35-3,"green, wood",1500,1517,1608,1738
linalyl valerate,10471-96-2,"citrus, lavender",1500,1517,1508,1765
α-muurolene,10208-80-7,wood,1506,1523,1457,1714
berteroin,4430-42-6,cabbage,1507,1524,1615,1872
3-mercaptohexanol,51755-83-0,sulfur,1510,1527,1618,1875
citronellyl butyrate,141-16-2,"fruit, sweet, rose",1511,1528,1529,1786
bornyl isovalerate,76-50-6,"herb, earth, green",1512,1529,1517,1774
(-)-β-bisabolene,495-61-4,balsamic,1513,1498,1589,1714
myristicin,607-91-0,"spice, warm, balsamic",1515,1532,1673,1930
α-farnesene,502-61-4,"wood, sweet",1518,1500,1591,1725
cadinadiene,29837-12-5,"spice, fruit",1518,1527,1618,1786
(Z)-oak-lactone,55013-32-6,spice,1521,1538,1629,1886
γ-cadinene,39029-41-9,wood,1526,1543,1495,1752
elemol,639-99-6,"green, wood",1530,1547,1638,2089
δ-cadinene,483-76-1,"thyme, medicine, wood",1531,1519,1610,1749
geranyl butyrate,106-29-6,"fruit, rose, apple",1532,1549,1615,1872
α-curcumene,644-30-4,herb,1536,1553,1516,1773
caryophyllene alcohol,56747-96-7,"moss, earth, spice",1539,1556,1647,1904
β-sesquiphellandrene,20307-83-9,wood,1543,1560,1525,1782
germacrene B,15423-57-1,"wood, earth, spice",1544,1562,1653,1864
(Z)-nerolidol,3790-78-1,wax,1548,1565,1656,2010
hexyl octanoate,1117-55-1,"herb, green, oil",1549,1566,1657,1806
calamenene,483-77-2,"herb, spice",1549,1523,1614,1927
isopropyl benzoate,939-48-0,"sweet, fruit",1550,1567,1658,1915
12-methyltridecanal,75853-49-5,"cooked meat, tallow, fat, meat broth, sweat",1559,1576,1661,1863
lauryl alcohol,112-53-8,"fat, wax",1560,1577,1668,1972
nerolidol,40716-66-3,"wood, flower, wax",1564,1539,1630,2009
guaiol,489-86-1,"wood, balsamic",1572,1589,1680,1937
dehydrocarveol,28982-60-7,"oil, herb",1576,1593,1684,1941
tridecanol,112-70-9,must,1576,1593,1695,1952
(E)-isoelemicin,5273-85-8,"spice, flower",1579,1596,1687,1944
dill apiol,484-31-1,"wood, spice",1585,1602,1693,1950
cedrenol,28231-03-0,fruit,1587,1604,1695,2113
δ-undecalactone,710-04-3,peach,1589,1606,1837,2284
geranyl isovalerate,109-20-6,"fruit, rose, apple",1593,1610,1638,1895
epoxy-β-ionone,23267-57-4,"fruit, sweet, wood",1593,1610,1701,1958
tetradecyl aldehyde,124-25-4,"flower, wax",1596,1613,1683,1940
(E)-2-hexenoic acid,13419-69-7,"must, fat",1597,1614,1705,1962
hexadecane,544-76-3,alkane,1600,1600,1600,1600
caryophyllene oxide,1139-30-6,"herb, sweet, spice",1600,1573,1664,1962
spathulenol,6750-60-3,"herb, fruit",1602,1619,1710,2129
levomenol,23089-26-1,herb,1603,1620,1764,2021
citronellyl valerate,7540-53-6,"warm, honey, herb, rose",1608,1625,1623,1880
methyl jasmonate,1211-29-6,jasmine,1609,1626,1717,1974
(E)-Whiskey lactone,80041-01-6,"flower, lactone",1612,1629,1720,1977
(Z)-whiskey lactone,80041-00-5,coconut,1620,1637,1728,1985
β-caryophyllene alcohol,472-97-9,"earth, moss",1625,1642,1746,2003
humulene oxide,19888-33-6,herb,1625,1642,1758,2015
(-)-cubenol,21284-22-0,"spice, herb, green tea",1628,1645,1736,1993
geranyl valerate,10402-47-8,"rose, fruit",1632,1649,1703,1960
methyl tetradecanoate,124-10-7,orris,1634,1651,1742,1999
bulnesol,22451-73-6,spice,1634,1651,1742,1999
β-eudesmol,473-15-4,"wood, green",1637,1654,1745,2246
(Z)-6-dodecen-γ-lactone,15456-69-6,soap,1639,1656,1747,2394
methyl epijasmonate,95722-42-2,jasmine,1640,1657,1748,2005
"cadina-1,4-dien-3-ol",114791-16-1,"wood, spice",1641,1658,1749,2006
(Z)-6-dodecene-γ-lactone,18679-18-0,"peach, sweet",1643,1660,1894,2396
α-bisabolol,515-69-5,"spice, flower",1645,1662,1753,2235
oxo-β-ionone,29790-29-2,wood,1648,1665,1849,2106
methyl dihydroepijasmonate,39647-11-5,jasmine,1649,1666,1757,2014
β-bisabolol,15352-77-9,"sweet, herb",1649,1666,1757,2014
butyl laurate,106-18-3,oil,1655,1672,1763,2020
δ-cadinol,36564-42-8,herb,1657,1674,1877,2134
T-muurolol,19912-62-0,"herb, weak spice",1659,1635,1726,2148
7-methoxycoumarin,531-59-9,"balsamic, sweet",1660,1743,1834,2981
pantolactone,599-04-2,cotton candy,1668,1685,1776,2033
γ-dodecalactone,2305-05-7,"sweet, fruit, flower",1668,1685,1898,2384
zingiberenol,58334-55-7,metal,1672,1689,1780,2037
"2,6-dimethylnaphthalene",581-42-0,grass,1673,1690,1781,2038
α-cadinol,481-34-5,"herb, wood",1674,1676,1767,2191
(E)-2-dodecen-1-ol,69064-37-5,oil,1675,1692,1783,2040
7-heptadecene,54290-12-9,alkane,1676,1693,1784,2041
ethyl tetradecanoate,124-06-1,ether,1677,1694,1785,2042
β-farnesol,58181-76-3,"flower, oil",1679,1696,1787,2044
α-caryophyllene alcohol,4586-22-5,earth,1679,1696,1952,2209
methyl cinnamate,1754-62-7,strawberry,1683,1700,1791,2048
diethyl malate,7554-12-3,"brown sugar, sweet",1688,1705,1796,2053
β-sinensal,60066-88-8,sweet,1689,1706,1797,2249
pentadecanal,2765-11-9,fresh,1694,1711,1802,2059
heptadecane,629-78-7,alkane,1700,1700,1700,1700
δ-dodecalactone,713-95-1,"fruit, sweet",1704,1721,1945,2426
(E)-farnesol,106-28-5,muguet,1705,1722,1813,2350
ethyl-(E)-cinnamate,4192-77-2,"flower, honey",1732,1749,1840,2097
viridiflorol,552-02-3,"green, sweet",1737,1754,1845,2102
trimethylphenylbutenone,57461-21-9,"flower, green",1737,1754,1845,2102
benzyl benzoate,120-51-4,"balsamic, oil, herb",1739,1723,1814,2071
methyl furaneol,27538-09-6,"cotton candy, sweet",1746,1763,1854,2111
bornyl benzoate,26927-90-2,"pine, balsamic",1749,1766,1857,2114
perhydrofarnesylacetone,502-69-2,fat,1753,1770,1861,2118
10-epi-γ-eudesmol,15051-81-7,"sweet, wood, flower",1756,1773,1864,2121
(+)-nootkatone,4674-50-4,grapefruit,1760,1814,2006,2515
hexadecanone,18787-63-8,fruit,1781,1798,1855,2112
4-propyl-guaiacol,2785-87-7,phenol,1781,1798,1889,2146
palmitaldehyde,629-80-1,cardboard,1796,1813,1896,2153
(-)-nootkatone,38427-78-0,terpentine,1797,1814,2006,2515
octadecane,593-45-3,alkane,1800,1800,1800,1800
Diethyl 2-hydroxyglutarate,69134-53-8,cotton candy,1806,1823,1914,2171
uncineol,1209-71-8,"wax, sweet",1820,1837,1928,2185
phenylethyl benzoate,97-47-3,"flower, honey",1824,1841,1932,2189
p-hydroethylbenzene,123-07-9,"phenol, spice",1830,1847,1938,2195
α-calacorene,21391-99-1,wood,1842,1859,1950,2207
hexadecanol,29354-98-1,"flower, wax",1853,1870,1961,2218
cetyl alcohol,36653-82-4,"wax, flower",1853,1870,1961,2378
4-Carbethoxybutyrolactone,1126-51-8,"roast, smoke",1876,1893,1984,2241
eudesmol,123123-38-6,"sweet, wood",1879,1896,1987,2244
ethyl hexadecanoate,628-97-7,wax,1885,1902,1993,2250
isoeugenol,97-54-1,flower,1885,1902,1993,2250
nonadecane,629-92-5,alkane,1900,1900,1900,1900
γ-undecalactone,104-67-6,apricot,1905,1922,2013,2270
"(E,E)-farnesyl acetate",4128-17-0,"oil, wax",1918,1935,2026,2283
trimethylphenylbutenone,81018-77-1,"flower, green",1925,1942,2033,2290
syringol,91-10-1,"medicine, phenol, smoke",1931,1948,2039,2296
isopropyl palmitate,142-91-6,fat,1993,2010,2101,2358
diethyl tartrate,87-91-2,"earth, must",1993,2010,2101,2358
"(E,E)-farnesylacetone",1117-52-8,"flower, ether",1998,2015,2106,2363
eicosane,112-95-8,alkane,2000,2000,2000,2000
(E)-isoeugenol,5932-68-3,flower,2007,2024,2115,2372
octadecanaldehyde,638-66-4,oil,2035,2052,2143,2400
4-vinylphenol,2628-17-3,almond shell,2062,2079,2170,2427
oleic acid,112-80-1,fat,2065,2082,2173,2430
methyl octadecenoate,112-61-8,fat,2065,2082,2173,2430
hydroxycalamenene,95908-33-1,herb,2068,2085,2068,2325
tetradecanol,112-72-1,coconut,2099,2116,1920,2177
heneicosane,629-94-7,alkane,2100,2100,2100,2100
phytol,150-86-7,flower,2111,2128,2314,2571
5-oxymethylfurfurole,67-47-0,cardboard,2147,2164,2255,2512
lauric acid,143-07-7,metal,2152,2169,2260,2517
docosane,629-97-0,alkane,2200,2200,2200,2200
6-Methoxyeugenol,6627-88-9,"sweet, flower",2205,2222,2313,2570
stearyl alcohol,112-92-5,oil,2215,2232,2323,2580
methyl vanillate,3943-74-6,"caramel, butterscotch, vanilla",2233,2250,2341,2598
ethyl vanillate,617-05-0,"flower, fruit, sweet, vanilla",2247,2264,2355,2612
acetovanillone,498-02-2,vanilla,2275,2292,2383,2640
3-oxo-α-ionol,34318-21-3,spice,2285,2302,2393,2650
tricosane,638-67-5,alkane,2300,2300,2300,2300
